2,2,2,220
3,3,2,240
4,4,2,250
5,5,2,256
6,6,2,262
7,7,2,268
8,8,2,274
9,9,2,280
10,10,2,286
11,11,2,292
12,12,2,298
13,13,2,304
14,14,2,310
15,15,2,316
16,16,2,322
17,17,2,328
18,18,2,334
19,19,2,340
20,20,2,346
21,21,2,352
22,22,2,358
23,23,2,364
24,24,2,370
25,25,2,376
26,26,2,382
27,27,2,388
28,28,2,394
29,29,2,400
30,30,2,406
31,31,2,412
32,32,2,418
33,33,2,424
34,34,2,430
35,35,2,436
36,36,2,442
37,37,2,448
38,38,2,454
39,39,2,460
40,40,2,466
41,41,2,472
42,42,2,478
43,43,2,484
44,44,2,490
45,45,2,496
46,46,2,502
47,47,2,508
48,48,2,514
49,49,2,520
50,50,2,526
51,51,2,532
52,52,2,538
53,53,2,544
54,54,2,550
55,55,2,556
56,56,2,562
57,57,2,568
58,58,2,574
59,59,2,580
60,60,2,586
61,61,2,592
62,62,2,598
63,63,2,604
64,64,2,610
65,65,2,616
66,66,2,622
67,67,2,628
68,68,2,634
69,69,2,640
70,70,2,646
71,71,2,652
72,72,2,658
73,73,2,664
74,74,2,670
75,75,2,676
76,76,2,682
77,77,2,688
78,78,2,694
79,79,2,700
80,80,2,706
81,81,2,712
82,82,2,718
83,83,2,724
84,84,2,730
85,85,2,736
86,86,2,742
87,87,2,748
88,88,2,754
89,89,2,760
90,90,2,766
91,91,2,772
92,92,2,778
93,93,2,784
94,94,2,790
95,95,2,796
96,96,2,802
97,97,2,808
98,98,2,814
99,99,2,820
100,100,2,826
101,101,2,832
