FMP1,IGLOO FIRNI ICE CREAM 1 LTR,188,220
FMP2,IGLOO FRUTZ MIXES FRUIT ICE CREAM 75ML,189,221
FMP3,IGLOO FRUTZ  STRAWBERRY ICE CREAM 75ML,190,222
FMP4,IGLOO SHAHI KULFI 500ML,191,223
FMP5,IGLOO VANILLA LITE ICE CREAM 500ML,192,224
FMP6,IGLOO MILK BADAMI BAR 70ML,193,225
FM7,IGLOO CONE CORNELLI BELGIAN CHOC 100ML,194,226
FMP8,IGLOO NAWABI MITHAI ICE CREAM 1 LTR,195,227
FMP9,IGLOO COCONUT COOLER ICE CREAM 1000ML,196,228
FMP10,IGLOO CREAM CARAMEL ICE CREAM 1000ML,197,229
FMP11,IGLOO CHOCOLATE CHIPS ICE CREAM 100ML,198,230
FMP12,IGLOO BOX ICE CREAM CHOCOLATE 2LTR,199,231
FMP13,IGLOO BOX ICE CREAM MANGO 2LTR,200,232
FMP14,IGLOO BOX ICE CREAM STRAWBERRY 2LTR,201,233
FMP15,IGLOO BOX ICE CREAM VANILLA 2LTR,202,234
FMP16,IGLOO CONE CORNELI PREMIUM 100ML,203,235
FMP17,IGLOO CONE CORNELI CLASSIC 100ML,204,236
FMP18,IGLOO PISTA KULFI CUP 100ML,205,237
FMP19,IGLOO CONTN VANILLA 1LTR,206,238
FMP20,IGLOO STICK CHOCO BAR 72ML,207,239
FMP21,IGLOO SHELL AND CORE 62ML,208,240
FMP22,IGLOO PREMIUM MACHO 82ML,209,241
FMP23,IGLOO PREMIUM MEGA 82ML,210,242
FMP24,IGLOO STICK LEMON LOLLY 65ML,211,243
FMP25,IGLOO CUP VANILA 100ML,212,244
FMP26,IGLOO RIPPLE 1LTR,213,245
FMP27,IGLOO DOUBLE STRAWBERRY SPARKLE 1LTR,214,246
FMP28,IGLOO ICE RIPPLE CAKE 1LTR,215,247
FMP29,IGLOO ICE RIPPLE CAKE 1.5LTR,216,248
FMP30,IGLOO CONTN STRAWBERRY 1LTR,217,249
FMP31,IGLOO CONTN CHOCOLATE 1LTR,218,250
FMP32,IGLOO  DIET VANILLA 1LTR,219,251
FMP33,IGLOO DOUBLE MANGO MELODY 1LTR,220,252
FMP34,IGLOO DOUBLE CHOCOLATE CHEERS 1LTR,221,253
FMP35,IGLOO DOUBLE CARAMEL COMBO 1LTR,222,254
FMP36,IGLOO DOUBLE PISTA PASSION 1LTR,223,255
FMP37,IGLOO SINGLE SUNDAE 120ML,224,256
FMP38,IGLOO CONTN MANGO FRESH 1LTR,225,257
FMP39,IGLOO CUP SNOW/FOOT BALL 100ML,226,258
FMP40,IGLOO PINACOLADA 58ML,227,259
FMP41,IGLOO PINAEAPPLE LOLLY 58ML,228,260
FMP42,IGLOO LASSI FLV ICE CREAM 500ML,229,261
FMP43,IGLOO LASSI FLV ICE CREAM 1000ML,230,262
